| File                                        | Remaining issue                                                                                                                                                   | What to fix                                                                     |
| ------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------- |
| `sqlserver-tuning/README.md`                | Says **“Create 6 tables”**, but lists **9 tables**                                                                                                                | Change 6 → 9, or rewrite the TODO correctly.                                    |
| `sqlserver-dql-date-functions.md`           | Correctly says weekday numbering depends on `DATEFIRST`, but SQL comment still says **1=Sunday, 2=Monday...**                                                     | Remove fixed mapping or say it assumes `DATEFIRST 7`.                           |
| `sqlserver-dql-analytical-functions.md`     | Main RANK/DENSE_RANK definitions are fixed, but comments still say **“unique integer”**                                                                           | Change comments to “same rank for ties”; RANK has gaps, DENSE_RANK does not.    |
| `sqlserver-dql-string-functions.md`         | COALESCE comment says `'comm', 'bonus', 0`, but query uses `commission, mgr, 0`                                                                                   | Make explanation and SQL match; `mgr` should not be described as bonus.         |
| `sqlserver-tsql-loops.md`                   | After the manager-hierarchy example, text incorrectly says the example **increases salaries**                                                                     | Replace that explanation with manager-hierarchy explanation.                    |
| `sqlserver-tsql-stored-procedures.md`       | Executes `@DeptID = 30`, but prints **“department 2”**                                                                                                            | Change output text to department 30.                                            |
| `sqlserver-tsql-functions.md`               | Corrected code uses `@DeptID IS NULL OR deptno = @DeptID`, but explanation still describes old `ISNULL()` / `dept_id = dept_id` logic                             | Update only that explanation paragraph.                                         |
| `sqlserver-tsql-temp-tables.md`             | Main global-temp lifetime explanation is correct, but code comment still says table exists **until all sessions disconnect**                                      | Change comment to creator session ends + no active references.                  |
| `sqlserver-tsql-triggers.md`                | Page correctly warns scalar queries against `inserted` fail for multi-row operations, but later trigger still uses `(SELECT ... FROM inserted)` scalar subqueries | Convert that later trigger to the set-based JOIN pattern already shown earlier. |
| `sqlserver-tuning/md/Query-Optimization.md` | The corrected `UNION ALL` rewrite still misses `sal > 3000` rows where `deptno IS NULL`; the `ISNULL(end_date...)` “rewrite” also changes NULL semantics          | Correct both rewrites so they preserve the original result set.                 |
